"Year","Sex","AgeGroup","Cases"
1997,"Females","65-69",78
1997,"Females","70-74",94
1997,"Females","75-79",61
1997,"Females","80-84",42
1997,"Females","85+",44
1996,"Males","0-4",0
1996,"Males","5-9",1
1996,"Males","10-14",1
1996,"Males","15-19",16
1996,"Males","20-24",14
1996,"Males","25-29",32
1996,"Males","30-34",35
1996,"Males","35-39",45
1996,"Males","40-44",67
1996,"Males","45-49",66
1996,"Males","50-54",83
1996,"Males","55-59",71
1996,"Males","60-64",81
1996,"Males","65-69",99
1996,"Males","70-74",95
1996,"Males","75-79",75
1996,"Males","80-84",54
1996,"Males","85+",32
1996,"Females","0-4",0
1996,"Females","5-9",2
1996,"Females","10-14",5
1996,"Females","15-19",17
1996,"Females","20-24",18
1996,"Females","25-29",46
1996,"Females","30-34",66
1996,"Females","35-39",58
1996,"Females","40-44",80
1996,"Females","45-49",84
1996,"Females","50-54",68
1996,"Females","55-59",63
1996,"Females","60-64",67
1996,"Females","65-69",55
1996,"Females","70-74",63
1996,"Females","75-79",50
1996,"Females","80-84",42
1996,"Females","85+",37
1995,"Males","0-4",0
1995,"Males","5-9",0
1995,"Males","10-14",1
1995,"Males","15-19",11
1995,"Males","20-24",14
1995,"Males","25-29",27
1995,"Males","30-34",22
1995,"Males","35-39",46
1995,"Males","40-44",68
1995,"Males","45-49",61
1995,"Males","50-54",72
1995,"Males","55-59",72
1995,"Males","60-64",93
1995,"Males","65-69",80
1995,"Males","70-74",87
1995,"Males","75-79",47
1995,"Males","80-84",38
1995,"Males","85+",32
1995,"Females","0-4",0
1995,"Females","5-9",0
1995,"Females","10-14",2
1995,"Females","15-19",7
1995,"Females","20-24",21
1995,"Females","25-29",50
1995,"Females","30-34",53
1995,"Females","35-39",55
1995,"Females","40-44",56
1995,"Females","45-49",74
1995,"Females","50-54",66
1995,"Females","55-59",44
1995,"Females","60-64",58
1995,"Females","65-69",72
1995,"Females","70-74",74
1995,"Females","75-79",53
1995,"Females","80-84",43
1995,"Females","85+",37
1994,"Males","0-4",0
1994,"Males","5-9",0
1994,"Males","10-14",1
1994,"Males","15-19",4
1994,"Males","20-24",12
1994,"Males","25-29",22
1994,"Males","30-34",45
1994,"Males","35-39",44
1994,"Males","40-44",43
1994,"Males","45-49",59
1994,"Males","50-54",56
1994,"Males","55-59",73
1994,"Males","60-64",71
1994,"Males","65-69",72
1994,"Males","70-74",72
1994,"Males","75-79",43
1994,"Males","80-84",43
1994,"Males","85+",24
1994,"Females","0-4",0
1994,"Females","5-9",0
1994,"Females","10-14",0
1994,"Females","15-19",5
1994,"Females","20-24",18
1994,"Females","25-29",33
1994,"Females","30-34",41
1994,"Females","35-39",45
1994,"Females","40-44",57
1994,"Females","45-49",61
1994,"Females","50-54",51
1994,"Females","55-59",44
1994,"Females","60-64",58
1994,"Females","65-69",60
1994,"Females","70-74",59
1994,"Females","75-79",46
1994,"Females","80-84",34
1994,"Females","85+",20
1993,"Males","0-4",0
1993,"Males","5-9",1
1993,"Males","10-14",1
1993,"Males","15-19",4
1993,"Males","20-24",12
1993,"Males","25-29",16
1993,"Males","30-34",31
1993,"Males","35-39",36
1993,"Males","40-44",38
1993,"Males","45-49",43
1993,"Males","50-54",62
1993,"Males","55-59",49
1993,"Males","60-64",79
1993,"Males","65-69",90
1993,"Males","70-74",76
1993,"Males","75-79",73
1993,"Males","80-84",23
1993,"Males","85+",21
1993,"Females","0-4",0
1993,"Females","5-9",0
1993,"Females","10-14",3
1993,"Females","15-19",9
1993,"Females","20-24",11
1993,"Females","25-29",23
1993,"Females","30-34",54
1993,"Females","35-39",34
1993,"Females","40-44",61
1993,"Females","45-49",62
1993,"Females","50-54",50
1993,"Females","55-59",36
1993,"Females","60-64",47
1993,"Females","65-69",67
1993,"Females","70-74",56
1993,"Females","75-79",36
1993,"Females","80-84",34
1993,"Females","85+",24
1992,"Males","0-4",0
1992,"Males","5-9",0
1992,"Males","10-14",0
1992,"Males","15-19",5
1992,"Males","20-24",20
1992,"Males","25-29",20
1992,"Males","30-34",31
1992,"Males","35-39",45
1992,"Males","40-44",62
1992,"Males","45-49",60
1992,"Males","50-54",64
1992,"Males","55-59",59
1992,"Males","60-64",87
1992,"Males","65-69",78
1992,"Males","70-74",61
1992,"Males","75-79",64
1992,"Males","80-84",33
1992,"Males","85+",22
1992,"Females","0-4",0
1992,"Females","5-9",1
1992,"Females","10-14",4
1992,"Females","15-19",4
1992,"Females","20-24",26
1992,"Females","25-29",37
1992,"Females","30-34",63
1992,"Females","35-39",42
1992,"Females","40-44",53
1992,"Females","45-49",49
1992,"Females","50-54",58
